no,f_name,f_type,table_name,@윤정,@병연,
0,상권-영역,csv,trd_area,"14~19// 19년도는 1,2분기만 있음/
 유동 인구수 / 요일별 인구수 등 있음 ","2019 1, 2분기 밖에 없음. 유동인구(성별/연령별/시간대별)",
1,상권-추정유동인구,csv,trd_pred_flpop,"14~19// 19년도는 1,2분기만 있음/
 유동 인구수 / 요일별 인구수 등 있음 ","2019 1, 2분기 밖에 없음. 유동인구(성별/연령별/시간대별)",
2,상권-집객시설,csv,trd_viatr_fclty,"15~20/ 시설 개수 / 참고자료로 이용가능 // 
집객시설과 소득소비 비교하면서 추천식 하면 좋을거 같음","2019 1, 2분기 밖에 없음. 집계 데이터 의미 없을 듯",
3,상권배후지-추정유동인구,csv,trdhl_pred_flpop,1번 데이터와 거의 동일. 단 1번과 데이터수와 값이 다름,,
4,상권배후지-집객시설,csv,trdhl_viatr_fclty,15~20 //2번 데이터와 컬럼과 일정등 다 동일 하나 데이터와 값 차이가 있음. ,,
5,상권배후지-상주인구,csv,trdhl_repop,"14~20// 20년도 1분기만 있음//
그 지역에 사는 인구수에 따라 상권에 영향 있을수 있음.",,
6,상권-상주인구,csv,trd_repop,17~20//20년도 1분기만 있음,"2019 분기 다 있음. 상주인구(성별,연령별)",
7,상권배후지-아파트,csv,trdhl_apt,"2015~2020 //필요없어보임. 단 그 지역의 아파트 단지수, 세대수 참고자료 필요하면 이용",,
8,상권배후지-점포,csv,trdhl_stor,"2015~2020//20년도만 1분기// 
어느 지역에 어느점포가 있는지 확인? 가능 // 개업,폐업 관련 데이터 포함됨 필요.",,
9,상권-상권변화지표,csv,trd_change_ix,"2014~2020//20년도 1분기만 있음 // 
영업개월 평균 /
 상권변화지표 (확장, 축소, 다이나믹 등 을 지표로 삼아 위험한지 괜찮은지 이용하면 좋을거 같음)","2019 분기 다 있음, 상권 변화 지표/운영, 폐업 개월 평균. 꽤 의미있을 듯",타겟 추정
10,행정동별 상권변화지표,csv,adstrd_change_ix,"9번과 동일// 동별 데이터 // 
영업개월 평균같은 내용 있음
 / 상권변화지표 (확장, 축소, 다이나믹 등 을 지표로 삼아 위험한지 괜찮은지 참고할수 있을거 같음",9번이랑 마찬가지이지만 행정동별로 구분되어있음. 지역을 행정동으로 기준잡으면 쓸만할 듯,
11,상권-추정매출,csv,trd_pred_selng,"2019// 매출내역 요일별, 시간별 나와서 사용하기 좋은 데이터임(1순위) ","2019 분기 다 있음. 매출(요일별,시간대별 상세하게 나와있음)",
12,상권-직장인구,csv,trd_wrdpop,14~20 // 유동인구를 쓴다고 하면 .. 필요 없을거 같음,"2019 분기 다 있음. 직장인구수(성별,연령대별) 테마를 직장인으로 잡으면 쓸만할 듯",
13,상권배후지-소득소비,csv,trdhl_income_expndtr,"14~20//20년도 1분기만 있음// 소비 내역을 통해서 어느 점포를 내는게 좋을지? 
 예를들어 어느지역은 교육 소비가 가장 높으니 교육관련된걸 내라는 식.?에 이용할수 있을거 같음",2019 분기 다 있음. 소득/지출(품목별). 쓰기 좋을 듯,
14,상권배후지-직장인구,csv,trdhl_wrdpop,19~20//  유동인구를 쓴다고 하면 .. 필요 없을거 같음,,
15,자치구별 상권변화지표,csv,br_change_ix,14~20//10번 데이터와 컬럼 동일. 구별이냐 동별이냐 차이임,10번과 거의 유사하지만 구별로 구분되어있음.,
16,상권-아파트,csv,trd_apt,14~20// 7번 데이터와 거의 동일,"2019분기 다 있지만 7번에 아파트 가구 수에 대한 내용이 있고 아파트면적, 가격은 별로 의미있지 않을 듯",
18,상권-점포,csv,trd_stor,"19~20 // 19년도 4분기만/ 20년도 1분기만 있음 // 8번 데이터와 동일, 값과 데이터 수 차이",서비스 업종/개업/폐업 등 내용은 좋지만 2019 4분기만 잇음,
19,상권배후지-추정매출,csv,trdhl_pred_selng,,,
